FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3969:ch3,Timeseries,64Hz,,,,,,
65142:ch3,Timeseries,64Hz,,,,,,

DATA_START
Time,3969:ch3,65142:ch3
09/04/19 21:11:06.468750000,-0.9974794,-1.000714
09/04/19 21:11:06.484375000,-1.0005,-1.001453
09/04/19 21:11:06.500000000,-0.9979829,-1.000714
09/04/19 21:11:06.515625000,-0.9979829,-0.9982498
09/04/19 21:11:06.531250000,-0.9992417,-0.9992355
09/04/19 21:11:06.546875000,-0.9954655,-1.001946
09/04/19 21:11:06.562500000,-0.9959689,-1.001453
09/04/19 21:11:06.578125000,-1.003018,-1.000221
09/04/19 21:11:06.593750000,-1.008305,-1.000468
09/04/19 21:11:06.609375000,-1.002011,-1.002439
09/04/19 21:11:06.625000000,-0.9962207,-1.002932
09/04/19 21:11:06.640625000,-0.992948,-1.002439
09/04/19 21:11:06.656250000,-1.000249,-1.001453
09/04/19 21:11:06.671875000,-1.004025,-0.9987426
09/04/19 21:11:06.687500000,-1.0005,-0.9987426
09/04/19 21:11:06.703125000,-0.9957172,-0.9987426
09/04/19 21:11:06.718750000,-0.9952137,-0.999482
09/04/19 21:11:06.734375000,-0.9984864,-1.001946
09/04/19 21:11:06.750000000,-1.001507,-1.003178
09/04/19 21:11:06.765625000,-1.002766,-1.0017
09/04/19 21:11:06.781250000,-1.001507,-1.0017
09/04/19 21:11:06.796875000,-0.9999969,-1.000468
09/04/19 21:11:06.812500000,-0.9979829,-1.000468
09/04/19 21:11:06.828125000,-0.9974794,-1.001207
09/04/19 21:11:06.843750000,-0.9964724,-1.000714
09/04/19 21:11:06.859375000,-0.9994934,-0.998989
09/04/19 21:11:06.875000000,-0.9989899,-0.9987426
09/04/19 21:11:06.890625000,-0.9931997,-0.9999748
09/04/19 21:11:06.906250000,-1.001507,-1.001453
09/04/19 21:11:06.921875000,-1.006039,-1.001453
09/04/19 21:11:06.937500000,-1.00327,-1.003671
09/04/19 21:11:06.953125000,-0.9994934,-1.002685
09/04/19 21:11:06.968750000,-0.993955,-1.002192
09/04/19 21:11:06.984375000,-0.9984864,-1.001207
09/04/19 21:11:07.000000000,-1.004528,-1.000221
09/04/19 21:11:07.015625000,-1.001004,-0.9982498
09/04/19 21:11:07.031250000,-0.9959689,-0.9984962
09/04/19 21:11:07.046875000,-0.994962,-0.999482
09/04/19 21:11:07.062500000,-0.9977312,-1.001453
09/04/19 21:11:07.078125000,-1.001507,-1.003425
09/04/19 21:11:07.093750000,-1.00327,-1.002439
09/04/19 21:11:07.109375000,-1.001507,-1.0017
09/04/19 21:11:07.125000000,-0.9994934,-1.000221
09/04/19 21:11:07.140625000,-0.9967242,-0.999482
09/04/19 21:11:07.156250000,-0.9964724,-1.000221
09/04/19 21:11:07.171875000,-0.9979829,-1.000468
09/04/19 21:11:07.187500000,-0.9994934,-1.000714
09/04/19 21:11:07.203125000,-1.001507,-0.999482
09/04/19 21:11:07.218750000,-0.9992417,-1.00096
09/04/19 21:11:07.234375000,-0.9934515,-1.001453
09/04/19 21:11:07.250000000,-0.9974794,-1.00096
09/04/19 21:11:07.265625000,-1.004025,-0.9997284
09/04/19 21:11:07.281250000,-1.007298,-1.00096
09/04/19 21:11:07.296875000,-1.001256,-1.002685
09/04/19 21:11:07.312500000,-0.9942067,-1.002192
09/04/19 21:11:07.328125000,-0.9934515,-1.001946
09/04/19 21:11:07.343750000,-1.001256,-0.9999748
09/04/19 21:11:07.359375000,-1.003018,-0.9992355
09/04/19 21:11:07.375000000,-1.000249,-0.998989
09/04/19 21:11:07.390625000,-0.9964724,-0.999482
09/04/19 21:11:07.406250000,-0.9962207,-1.000221
09/04/19 21:11:07.421875000,-0.9997451,-1.002685
09/04/19 21:11:07.437500000,-1.002011,-1.002439
09/04/19 21:11:07.453125000,-1.001256,-1.001453
09/04/19 21:11:07.468750000,-1.0005,-1.00096
09/04/19 21:11:07.484375000,-0.9989899,-1.000468
09/04/19 21:11:07.500000000,-0.9979829,-1.00096
09/04/19 21:11:07.515625000,-0.9979829,-1.0017
09/04/19 21:11:07.531250000,-0.9977312,-0.998989
09/04/19 21:11:07.546875000,-0.9974794,-0.9987426
09/04/19 21:11:07.562500000,-0.9942067,-1.000221
09/04/19 21:11:07.578125000,-1.001507,-1.000714
09/04/19 21:11:07.593750000,-1.005032,-1.001207
09/04/19 21:11:07.609375000,-1.004528,-1.004164
09/04/19 21:11:07.625000000,-0.9982347,-1.002192
09/04/19 21:11:07.640625000,-0.9959689,-1.0017
09/04/19 21:11:07.656250000,-0.9964724,-1.00096
09/04/19 21:11:07.671875000,-1.002514,-0.9999748
09/04/19 21:11:07.687500000,-1.001759,-0.998989
09/04/19 21:11:07.703125000,-0.9982347,-0.9992355
09/04/19 21:11:07.718750000,-0.9959689,-0.999482
09/04/19 21:11:07.734375000,-0.9977312,-1.00096
09/04/19 21:11:07.750000000,-1.0005,-1.003178
09/04/19 21:11:07.765625000,-1.002766,-1.002192
09/04/19 21:11:07.781250000,-1.000752,-1.00096
09/04/19 21:11:07.796875000,-0.9992417,-1.00096
09/04/19 21:11:07.812500000,-0.9987382,-0.9997284
09/04/19 21:11:07.828125000,-0.9977312,-1.000714
09/04/19 21:11:07.843750000,-0.9979829,-1.000714
09/04/19 21:11:07.859375000,-0.9977312,-0.999482
09/04/19 21:11:07.875000000,-0.9994934,-0.999482
09/04/19 21:11:07.890625000,-0.9992417,-1.00096
09/04/19 21:11:07.906250000,-0.994962,-1.0017
09/04/19 21:11:07.921875000,-0.9977312,-1.0017
09/04/19 21:11:07.937500000,-1.004277,-1.000468
09/04/19 21:11:07.953125000,-1.008053,-1.000468
09/04/19 21:11:07.968750000,-1.000752,-1.003178
09/04/19 21:11:07.984375000,-0.993955,-1.001946
09/04/19 21:11:08.000000000,-0.9926962,-1.0017
09/04/19 21:11:08.015625000,-1.001507,-1.000468
09/04/19 21:11:08.031250000,-1.004277,-0.9992355
09/04/19 21:11:08.046875000,-0.9997451,-0.998989
09/04/19 21:11:08.062500000,-0.9957172,-0.9997284
09/04/19 21:11:08.078125000,-0.9964724,-1.000714
09/04/19 21:11:08.093750000,-0.9997451,-1.002439
